id_switch,switch_ip,port,operational,administrative,mac,bridge_mac,access_allowed
1,10.90.90.90,1,1,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
1,10.90.90.90,2,2,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
1,10.90.90.90,3,2,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
1,10.90.90.90,4,1,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
1,10.90.90.90,5,2,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
1,10.90.90.90,6,2,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
1,10.90.90.90,7,2,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
1,10.90.90.90,8,2,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
1,10.90.90.90,9,2,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
1,10.90.90.90,10,2,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
1,10.90.90.90,11,2,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
1,10.90.90.90,12,2,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
1,10.90.90.90,13,1,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
1,10.90.90.90,14,2,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
1,10.90.90.90,15,2,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
1,10.90.90.90,16,2,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
1,10.90.90.90,17,2,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
1,10.90.90.90,18,2,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
1,10.90.90.90,19,2,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
1,10.90.90.90,20,2,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
1,10.90.90.90,21,2,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
1,10.90.90.90,22,2,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
1,10.90.90.90,23,2,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
1,10.90.90.90,24,2,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
1,10.90.90.90,25,6,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
1,10.90.90.90,26,6,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
1,10.90.90.90,27,6,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
1,10.90.90.90,28,6,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
1,10.90.90.90,29,6,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
1,10.90.90.90,30,6,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
1,10.90.90.90,31,6,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
1,10.90.90.90,32,6,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
1,10.90.90.90,33,6,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
1,10.90.90.90,34,6,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
1,10.90.90.90,35,6,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
1,10.90.90.90,36,6,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
1,10.90.90.90,37,6,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
1,10.90.90.90,38,6,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
1,10.90.90.90,39,6,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
1,10.90.90.90,40,6,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
1,10.90.90.90,41,6,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
1,10.90.90.90,42,6,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
1,10.90.90.90,43,6,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
1,10.90.90.90,44,6,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
1,10.90.90.90,45,6,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
1,10.90.90.90,46,6,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
1,10.90.90.90,47,6,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
1,10.90.90.90,48,6,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
1,10.90.90.90,49,6,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
1,10.90.90.90,50,6,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
1,10.90.90.90,51,6,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
1,10.90.90.90,52,6,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
1,10.90.90.90,53,6,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
1,10.90.90.90,54,6,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
1,10.90.90.90,55,6,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
1,10.90.90.90,56,6,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
1,10.90.90.90,57,1,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
1,10.90.90.90,58,1,1,,4E:4F:53:55:43:48:49:4E:53:54:41:4E:43:45,
